envId,formationType,timeStep,receiverId,old_theta,delta_T,dynamic_theta
0,0,15,15,10.0,-0.09462594985961914,9.90537405014038
0,0,15,16,10.0,-0.7711987495422363,9.228801250457764
0,0,15,17,10.0,-0.8819389343261719,9.118061065673828
0,0,15,18,10.0,-0.9759001731872559,9.024099826812744
0,0,15,19,10.0,-0.6819835901260376,9.318016409873962
0,0,15,20,10.0,-0.4063446521759033,9.593655347824097
0,0,16,1,10.0,-0.9723868370056152,9.027613162994385
0,0,16,2,10.0,1.0542337894439697,11.05423378944397
0,0,16,3,10.0,-0.6902555227279663,9.309744477272034
0,0,16,4,10.0,-0.77569580078125,9.22430419921875
0,0,16,5,10.0,-0.9220762252807617,9.077923774719238
0,0,16,6,10.0,-0.9991719722747803,9.00082802772522
0,0,16,7,10.0,-0.9467771053314209,9.053222894668579
0,0,16,8,10.0,-0.671066164970398,9.328933835029602
0,0,16,9,10.0,-0.6682920455932617,9.331707954406738
0,0,16,10,10.0,-0.8625023365020752,9.137497663497925
0,0,16,11,10.0,-0.9599907398223877,9.040009260177612
0,0,16,12,10.0,-0.7977083921432495,9.20229160785675
0,0,16,13,10.0,-0.5884186029434204,9.41158139705658
0,0,16,14,10.0,-0.6724576950073242,9.327542304992676
0,0,16,15,10.0,0.0005650520324707031,10.00056505203247
0,0,16,16,10.0,-0.6828827857971191,9.31711721420288
0,0,16,17,10.0,-1.128854751586914,8.871145248413086
0,0,16,18,10.0,-0.9248447418212891,9.075155258178711
0,0,16,19,10.0,-0.3258078098297119,9.674192190170288
0,0,16,20,10.0,-0.6386348009109497,9.36136519908905
0,0,17,1,10.0,-0.9568090438842773,9.043190956115723
0,0,17,2,10.0,0.14076733589172363,10.140767335891724
0,0,17,3,10.0,-0.5862261056900024,9.413773894309998
0,0,17,4,10.0,-0.822584867477417,9.177415132522583
0,0,17,5,10.0,-1.1071479320526123,8.892852067947388
0,0,17,6,10.0,-1.153249740600586,8.846750259399414
0,0,17,7,10.0,-0.8742605447769165,9.125739455223083
0,0,17,8,10.0,-0.6771243810653687,9.322875618934631
0,0,17,9,10.0,-0.7186875343322754,9.281312465667725
0,0,17,10,10.0,-0.9148164987564087,9.085183501243591
0,0,17,11,10.0,-0.8854036331176758,9.114596366882324
0,0,17,12,10.0,-0.8261749744415283,9.173825025558472
0,0,17,13,10.0,-0.7969696521759033,9.203030347824097
0,0,17,14,10.0,-0.6188087463378906,9.38119125366211
0,0,17,15,10.0,0.2560901641845703,10.25609016418457
0,0,17,16,10.0,-0.6862009763717651,9.313799023628235
0,0,17,17,10.0,-0.8738009929656982,9.126199007034302
0,0,17,18,10.0,-0.7237435579299927,9.276256442070007
0,0,17,19,10.0,-0.5074419975280762,9.492558002471924
0,0,17,20,10.0,-0.5423004627227783,9.457699537277222
0,0,18,1,10.0,-0.9834691286087036,9.016530871391296
0,0,18,2,10.0,-0.28630220890045166,9.713697791099548
0,0,18,3,10.0,-0.5536153316497803,9.44638466835022
0,0,18,4,10.0,-0.9230785369873047,9.076921463012695
0,0,18,5,10.0,-1.2176876068115234,8.782312393188477
0,0,18,6,10.0,-0.8261005878448486,9.173899412155151
0,0,18,7,10.0,-0.537517786026001,9.462482213973999
0,0,18,8,10.0,-0.3628373146057129,9.637162685394287
0,0,18,9,10.0,-0.6682311296463013,9.331768870353699
0,0,18,10,10.0,-0.987623929977417,9.012376070022583
0,0,18,11,10.0,-0.576606273651123,9.423393726348877
0,0,18,12,10.0,-0.7277827262878418,9.272217273712158
0,0,18,13,10.0,-0.6124172210693359,9.387582778930664
0,0,18,14,10.0,-0.6596436500549316,9.340356349945068
0,0,18,15,10.0,-0.013264298439025879,9.986735701560974
0,0,18,16,10.0,-0.4363645315170288,9.563635468482971
0,0,18,17,10.0,-0.743582010269165,9.256417989730835
0,0,18,18,10.0,-0.5296698808670044,9.470330119132996
0,0,18,19,10.0,-0.3309504985809326,9.669049501419067
0,0,18,20,10.0,-0.8252254724502563,9.174774527549744
0,0,19,1,10.0,-1.0350862741470337,8.964913725852966
0,0,19,2,10.0,0.06650638580322266,10.066506385803223
0,0,19,3,10.0,-0.5851026773452759,9.414897322654724
0,0,19,4,10.0,-0.9993820190429688,9.000617980957031
0,0,19,5,10.0,-1.2201861143112183,8.779813885688782
0,0,19,6,10.0,-0.5326611995697021,9.467338800430298
0,0,19,7,10.0,-0.9311156272888184,9.068884372711182
0,0,19,8,10.0,-0.8106017112731934,9.189398288726807
0,0,19,9,10.0,-0.9066835641860962,9.093316435813904
0,0,19,10,10.0,-0.9275901317596436,9.072409868240356
0,0,19,11,10.0,-0.8832039833068848,9.116796016693115
0,0,19,12,10.0,-0.7817422151565552,9.218257784843445
0,0,19,13,10.0,-0.5639708042144775,9.436029195785522
0,0,19,14,10.0,-0.5343101024627686,9.465689897537231
0,0,19,15,10.0,-0.32200419902801514,9.677995800971985
0,0,19,16,10.0,-0.4479820728302002,9.5520179271698
0,0,19,17,10.0,-0.37397658824920654,9.626023411750793
0,0,19,18,10.0,-0.47819530963897705,9.521804690361023
0,0,19,19,10.0,-0.5967898368835449,9.403210163116455
0,0,19,20,10.0,-0.7633043527603149,9.236695647239685
0,0,20,1,10.0,-1.182883858680725,8.817116141319275
0,0,20,2,10.0,-0.4217243194580078,9.578275680541992
0,0,20,3,10.0,-1.1272050142288208,8.87279498577118
0,0,20,4,10.0,-1.3099322319030762,8.690067768096924
0,0,20,5,10.0,-0.6978528499603271,9.302147150039673
0,0,20,6,10.0,-0.620295524597168,9.379704475402832
0,0,20,7,10.0,-0.7236001491546631,9.276399850845337
0,0,20,8,10.0,-0.4259144067764282,9.574085593223572
0,0,20,9,10.0,-0.9000601768493652,9.099939823150635
0,0,20,10,10.0,-0.7869749069213867,9.213025093078613
0,0,20,11,10.0,-0.694467306137085,9.305532693862915
0,0,20,12,10.0,-0.5631833076477051,9.436816692352295
0,0,20,13,10.0,-0.6418886184692383,9.358111381530762
0,0,20,14,10.0,-0.24019944667816162,9.759800553321838
0,0,20,15,10.0,-0.5834599733352661,9.416540026664734
0,0,20,16,10.0,-1.032973289489746,8.967026710510254
0,0,20,17,10.0,-0.7921748161315918,9.207825183868408
0,0,20,18,10.0,-1.1383711099624634,8.861628890037537
0,0,20,19,10.0,-1.0428386926651,8.9571613073349
0,0,20,20,10.0,-0.18221068382263184,9.817789316177368
0,0,21,1,10.0,-1.1745415925979614,8.825458407402039
0,0,21,2,10.0,0.28322315216064453,10.283223152160645
0,0,21,3,10.0,-0.7071040868759155,9.292895913124084
0,0,21,4,10.0,-0.9511842727661133,9.048815727233887
0,0,21,5,10.0,-0.7442531585693359,9.255746841430664
0,0,21,6,10.0,-0.9244325160980225,9.075567483901978
0,0,21,7,10.0,-0.7371426820755005,9.2628573179245
0,0,21,8,10.0,-0.8058434724807739,9.194156527519226
0,0,21,9,10.0,-0.9586925506591797,9.04130744934082
0,0,21,10,10.0,-0.8707726001739502,9.12922739982605
0,0,21,11,10.0,-0.7163141965866089,9.283685803413391
0,0,21,12,10.0,-0.4951488971710205,9.50485110282898
0,0,21,13,10.0,-0.42873096466064453,9.571269035339355
0,0,21,14,10.0,-0.545263409614563,9.454736590385437
0,0,21,15,10.0,0.8030483722686768,10.803048372268677
0,0,21,16,10.0,-0.5906504392623901,9.40934956073761
0,0,21,17,10.0,-0.5806758403778076,9.419324159622192
0,0,21,18,10.0,-0.5365231037139893,9.46347689628601
0,0,21,19,10.0,-0.8365224599838257,9.163477540016174
0,0,21,20,10.0,-1.0202990770339966,8.979700922966003
0,0,22,1,10.0,-1.18293297290802,8.81706702709198
0,0,22,2,10.0,0.19644498825073242,10.196444988250732
0,0,22,3,10.0,-0.97125244140625,9.02874755859375
0,0,22,4,10.0,-1.2904969453811646,8.709503054618835
0,0,22,5,10.0,-1.245314121246338,8.754685878753662
0,0,22,6,10.0,-1.142255425453186,8.857744574546814
0,0,22,7,10.0,-0.9200928211212158,9.079907178878784
0,0,22,8,10.0,-0.8082163333892822,9.191783666610718
0,0,22,9,10.0,-0.9063425064086914,9.093657493591309
0,0,22,10,10.0,-0.772705078125,9.227294921875
0,0,22,11,10.0,-0.5946338176727295,9.40536618232727
0,0,22,12,10.0,-0.3560587167739868,9.643941283226013
0,0,22,13,10.0,-0.4134390354156494,9.58656096458435
