attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.2,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1+2,28583,7897,74,9046,0.825197368421053,0.533907808534498,0.991885964912281,0.694164140735909,0.216474780701754,0.0081140350877193
random,0.2,0,Perfect-NoNoise,2,Circular,Static Phase 1,30147,6333,1501,7619,0.828201754385965,0.546086582568807,0.835416666666667,0.660454230235784,0.173601973684211,0.164583333333333
random,0.2,0,Perfect-NoNoise,2,Circular,Static Phase 1+2,24970,11510,484,8636,0.736973684210526,0.428670703861809,0.946929824561404,0.590172896876922,0.315515350877193,0.0530701754385965
random,0.2,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1,29187,7293,393,8727,0.831447368421053,0.544756554307116,0.956907894736842,0.694272076372315,0.199917763157895,0.0430921052631579
random,0.2,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1+2,27646,8834,169,8951,0.802565789473684,0.503289288726455,0.981469298245614,0.66537818249396,0.242160087719298,0.018530701754386
random,0.2,1,Open,0,Horizontal,Static Phase 1,22711,13769,1501,7619,0.665131578947368,0.356227791284833,0.835416666666667,0.499475547397404,0.377439692982456,0.164583333333333
random,0.2,1,Open,0,Horizontal,Static Phase 1+2,5891,30589,847,8273,0.310614035087719,0.212881478050538,0.907127192982456,0.344837647451127,0.838514254385965,0.0928728070175439
random,0.2,1,Open,0,Horizontal,SAC Dynamic Phase 1,22726,13754,1511,7609,0.665241228070175,0.356176566961569,0.834320175438596,0.499229078502772,0.37702850877193,0.165679824561404
random,0.2,1,Open,0,Horizontal,SAC Dynamic Phase 1+2,5925,30555,859,8261,0.31109649122807,0.212824608408904,0.905811403508772,0.344667890520694,0.837582236842105,0.0941885964912281
random,0.2,1,Open,1,Random-Matrix,Static Phase 1,28283,8197,1390,7730,0.789758771929825,0.485339360833804,0.847587719298246,0.617239589571605,0.224698464912281,0.152412280701754
random,0.2,1,Open,1,Random-Matrix,Static Phase 1+2,6679,29801,414,8706,0.337390350877193,0.226088763082037,0.954605263157895,0.365590946311966,0.816913377192982,0.0453947368421053
random,0.2,1,Open,1,Random-Matrix,SAC Dynamic Phase 1,22730,13750,822,8298,0.680438596491228,0.376360667634253,0.909868421052632,0.532469199178645,0.376918859649123,0.0901315789473684
random,0.2,1,Open,1,Random-Matrix,SAC Dynamic Phase 1+2,6117,30363,265,8855,0.328333333333333,0.225789178438472,0.97094298245614,0.366378418635442,0.832319078947368,0.0290570175438596
random,0.2,1,Open,2,Circular,Static Phase 1,28168,8312,1425,7695,0.786469298245614,0.480727181857937,0.84375,0.612488558124726,0.227850877192982,0.15625
random,0.2,1,Open,2,Circular,Static Phase 1+2,6107,30373,709,8411,0.318377192982456,0.216867780528053,0.922258771929825,0.351160654642619,0.832593201754386,0.0777412280701754
random,0.2,1,Open,2,Circular,SAC Dynamic Phase 1,23303,13177,892,8228,0.691469298245614,0.384396169119365,0.90219298245614,0.539099099099099,0.361211622807018,0.0978070175438596
random,0.2,1,Open,2,Circular,SAC Dynamic Phase 1+2,5881,30599,510,8610,0.317785087719298,0.219592440511107,0.944078947368421,0.356307806906826,0.838788377192982,0.0559210526315789
random,0.2,2,Suburban,0,Horizontal,Static Phase 1,17031,19449,1350,7770,0.543881578947368,0.285462360850876,0.851973684210526,0.427639725914307,0.533141447368421,0.148026315789474
random,0.2,2,Suburban,0,Horizontal,Static Phase 1+2,6277,30203,449,8671,0.32780701754386,0.223053969233935,0.950767543859649,0.361336833770888,0.827933114035088,0.0492324561403509
