step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
259,0,0,14,1,50.0,2.0,50.0,0.0,-0.0925
260,0,0,14,2,50.0,2.0,50.0,0.0,-0.0925
261,0,0,14,3,50.0,2.0,50.0,0.0,-0.0925
262,0,0,14,4,50.0,2.0,50.0,0.0,-0.0925
263,0,0,14,5,50.0,2.0,50.0,0.0,-0.0925
264,0,0,14,6,50.0,2.0,50.0,0.0,-0.0925
265,0,0,14,7,50.0,2.0,50.0,0.0,-0.0925
266,0,0,14,8,50.0,2.0,50.0,0.0,-0.0925
267,0,0,14,9,50.0,2.0,50.0,0.0,-0.0925
268,0,0,14,10,50.0,-0.011727094650268555,49.98827290534973,0.0,-0.052489648152839095
269,0,0,14,11,49.98827290534973,-1.5794185400009155,48.408854365348816,0.0,-0.07585448361033506
270,0,0,14,12,48.408854365348816,-1.9061709642410278,46.50268340110779,0.0,-0.08533756085026349
271,0,0,14,13,46.50268340110779,-1.9284651279449463,44.57421827316284,0.0,-0.08426399577016003
272,0,0,14,14,44.57421827316284,-1.6277230978012085,42.94649517536163,0.0,-0.07194132000651726
273,0,0,14,15,42.94649517536163,-0.3510453701019287,42.595449805259705,0.0,-0.04632777832395971
274,0,0,14,16,42.595449805259705,1.9999446868896484,44.59539449214935,0.0,-0.0870931819983307
275,0,0,14,17,44.59539449214935,2.0,46.59539449214935,0.0,-0.08909539449214937
276,0,0,14,18,46.59539449214935,2.0,48.59539449214935,0.0,-0.09109539449214936
277,0,0,14,19,48.59539449214935,2.0,50.0,0.0,-0.0925
278,0,0,14,20,50.0,2.0,50.0,0.0,-0.0925
279,0,0,15,1,50.0,2.0,50.0,0.0,-0.0925
280,0,0,15,2,50.0,2.0,50.0,0.0,-0.0925
281,0,0,15,3,50.0,2.0,50.0,0.0,-0.0925
282,0,0,15,4,50.0,2.0,50.0,0.0,-0.0925
283,0,0,15,5,50.0,2.0,50.0,0.0,-0.0925
284,0,0,15,6,50.0,2.0,50.0,0.0,-0.0925
285,0,0,15,7,50.0,2.0,50.0,0.0,-0.0925
286,0,0,15,8,50.0,2.0,50.0,0.0,-0.0925
287,0,0,15,9,50.0,2.0,50.0,0.0,-0.0925
288,0,0,15,10,50.0,0.5475301742553711,50.0,0.0,-0.055497892917201176
289,0,0,15,11,50.0,-1.4666290283203125,48.53337097167969,0.0,-0.07254337803879754
290,0,0,15,12,48.53337097167969,-1.8702620267868042,46.66310894489288,0.0,-0.08414190943329974
291,0,0,15,13,46.66310894489288,-1.9200111627578735,44.74309778213501,0.0,-0.08410752643328342
292,0,0,15,14,44.74309778213501,-1.6839358806610107,43.059161901474,0.0,-0.07391556240324974
293,0,0,15,15,43.059161901474,-0.660132884979248,42.39902901649475,0.0,-0.04925678327480501
294,0,0,15,16,42.39902901649475,1.999894618988037,44.39892363548279,0.0,-0.08689470850605585
295,0,0,15,17,44.39892363548279,2.0,46.39892363548279,0.0,-0.0888989236354828
296,0,0,15,18,46.39892363548279,2.0,48.39892363548279,0.0,-0.0908989236354828
297,0,0,15,19,48.39892363548279,2.0,50.0,0.0,-0.0925
298,0,0,15,20,50.0,2.0,50.0,0.0,-0.0925
299,0,0,16,1,50.0,2.0,50.0,0.0,-0.0925
300,0,0,16,2,50.0,2.0,50.0,0.0,-0.0925
301,0,0,16,3,50.0,2.0,50.0,0.0,-0.0925
302,0,0,16,4,50.0,2.0,50.0,0.0,-0.0925
303,0,0,16,5,50.0,2.0,50.0,0.0,-0.0925
304,0,0,16,6,50.0,2.0,50.0,0.0,-0.0925
305,0,0,16,7,50.0,2.0,50.0,0.0,-0.0925
306,0,0,16,8,50.0,2.0,50.0,0.0,-0.0925
307,0,0,16,9,50.0,2.0,50.0,0.0,-0.0925
308,0,0,16,10,50.0,1.1727361679077148,50.0,0.0,-0.06625310119518872
309,0,0,16,11,50.0,-1.3459813594818115,48.65401864051819,0.0,-0.06927067684124324
310,0,0,16,12,48.65401864051819,-1.8388607501983643,46.815157890319824,0.0,-0.08312924647652074
311,0,0,16,13,46.815157890319824,-1.9256091117858887,44.889548778533936,0.0,-0.08446925329246233
312,0,0,16,14,44.889548778533936,-1.761786699295044,43.12776207923889,0.0,-0.07666668581736816
313,0,0,16,15,43.12776207923889,-0.8837475776672363,42.244014501571655,0.0,-0.052554112311898736
314,0,0,16,16,42.244014501571655,1.99981689453125,44.243831396102905,0.0,-0.08673650751262904
