envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta,benign_exceedance_rate,mean_delta_d,max_delta_d,num_links
0,0,1,19,497.513715134811,497.513715134811,100.0,0.0278777819245216,0.0,4.91931487817437,16,0.999999999999998,10,0.0,1.8231030720160463e-14,5.6843418860808e-14,19
0,0,1,20,520.693169582337,520.693169582337,100.0,0.0326972892344099,0.0,4.66901560254136,16,0.999999999999998,10,0.0,2.0661834816181855e-14,7.105427357600999e-14,19
0,0,2,1,521.245458504125,521.245458504124,100.0,0.0497224647863749,0.629074619550195,3.19570597932362,16,0.999999999999997,10,0.0,2.360684747097701e-14,9.9475983006414e-14,19
0,0,2,2,512.42889474028,512.42889474028,100.0,0.0438667561725437,0.708464062247158,4.64748964005472,16,0.999999999999997,10,0.0,2.4027563564519172e-14,5.6843418860808e-14,19
0,0,2,3,509.032480302702,509.032480302702,100.0,0.0381417635386859,0.637902040208348,4.92691238372585,16,0.999999999999998,10,0.0,1.6454673880760212e-14,5.6843418860808e-14,19
0,0,2,4,507.834308045827,507.834308045827,100.0,0.0327217411088127,0.662131807112016,4.56220841827393,16,0.999999999999998,10,0.0,1.9119209139860585e-14,5.6843418860808e-14,19
0,0,2,5,487.667260732401,487.6672607324,100.0,0.027719580867907,0.788777447920359,3.94424095347719,16,0.999999999999998,10,0.0,1.9586671466018546e-14,8.5265128291212e-14,19
0,0,2,6,436.653440765846,436.653440765846,100.0,0.0233036332703422,0.944545329224975,3.5117019690988,16,0.999999999999998,10,0.0,1.6968882439533965e-14,7.105427357600999e-14,19
0,0,2,7,369.699894609614,369.699894609614,100.0,0.019590119028517,1.02947711301354,3.49810334502776,16,0.999999999999999,10,0.0,1.2621482806264935e-14,4.9737991503207e-14,19
0,0,2,8,299.861058633917,299.861058633916,100.0,0.0166365444645785,0.970813940109978,3.96018109183829,16,0.999999999999999,10,0.0,1.1873543084412197e-14,5.6843418860808e-14,19
0,0,2,9,236.827547437444,236.827547437444,100.0,0.0144189016024665,0.822278207255022,4.72613299151414,16,0.999999999999999,10,0.0,1.2294259177954363e-14,4.2632564145606e-14,19
0,0,2,10,186.562624146537,186.562624146537,100.0,0.0128566191906666,0.676640648446468,5.43834867924421,16,0.999999999999999,10,0.0,1.2341005410570158e-14,3.19744231092045e-14,19
0,0,2,11,152.537155718075,152.537155718075,100.0,0.0118713853207219,0.646927553439378,5.6472355618051,16,0.999999999999999,10,0.0,1.4304347180433592e-14,4.2632564145606e-14,19
0,0,2,12,137.396983518945,137.396983518945,100.0,0.0114427933141624,0.723910602777608,5.16149979293116,16,0.999999999999999,10,0.0,9.489485221006598e-15,4.9737991503207e-14,19
0,0,2,13,143.77607203409,143.77607203409,100.0,0.0116248229397974,0.871357722868662,4.3730633924765,16,0.999999999999999,10,0.0,1.6174196485065434e-14,6.3948846218409e-14,19
0,0,2,14,173.553057066041,173.553057066041,100.0,0.0125125053240364,1.02317226475054,3.7053296151259,16,0.999999999999999,10,0.0,1.5473002995828492e-14,5.6843418860808e-14,19
0,0,2,15,225.837327627743,225.837327627743,100.0,0.014180680382068,1.09091566999972,3.44343979869086,16,0.999999999999999,10,0.0,1.3556407458580856e-14,4.2632564145606e-14,19
0,0,2,16,295.289945762711,295.289945762711,100.0,0.01663431135044,1.01255007204279,3.66088184502009,16,0.999999999999999,10,0.0,1.509903313490213e-14,4.2632564145606e-14,19
0,0,2,17,372.385038563586,372.385038563586,100.0,0.019801486668832,0.8578110788125,4.20281369819157,16,0.999999999999998,10,0.0,1.953992523340275e-14,5.6843418860808e-14,19
0,0,2,18,445.203715353894,445.203715353894,100.0,0.023572539854276,0.714132411022724,4.80036128942251,16,0.999999999999998,10,0.0,2.3373116307898028e-14,5.6843418860808e-14,19
